TestName,URL,description,duration,adaptive_support,remote_support,TestType
Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,"Multi-choice test that measures the knowledge of Selenium IDE, Selenium RC, Selenium grid, web driver, test design considerations, user extensions, frameworks and object repository. Approximate Completion Time in minutes = 10 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choi",20,No,Yes,C
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,"Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts. Korean, Japanese, Thai, Portuguese (Brazil), Portuguese, Chinese Traditional, Indonesian, Russian, Romanian, Polish, Greek, Latin American Spanish, English International, Arabic, Hungarian, Czech, French (Canada), Slovak, Serbian, Turkish, Spanish, Danish, Estonian, Finnish, Latvian, Lithuanian, Norwegian, Swedish, French, German, Italian, Dutch, Chinese Simplified, English (USA), Approximate Completion Time in minutes = 20 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different",20,No,Yes,A
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,"The Verify Interactive Numerical Calculation test measures a candidate’s ability to work with numbers and use appropriate mathematics in different situations. The Numerical Ability test requires candidates to understand order of operations, perform numerical calculations, and identify errors in calculations. The Numerical Calculation test, though it is adaptive, is ideal for entry-level jobs that require completing simple numerical calculations quickly and accurately. Approximate Completion Time in minutes = 10 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by ",20,Yes,Yes,A
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,"Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI, DAX, MDX, tabular model data access and security. Approximate Completion Time in minutes = 15 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee",20,No,Yes,C
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,"Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple tables. Approximate Completion Time in minutes = 11 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test that m",20,No,Yes,C
SVAR - Spoken English (Indian Accent) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Approximate Completion Time in minutes = - Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn ",20,No,Yes,K
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,"Multi-choice test that measures the knowledge of how to use Tableau to prepare tables, create visualizations, perform calculations, apply filters and carry out forecasting. Approximate Completion Time in minutes = 8 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our pages. Learn more about who we are, how you can contact us, and how we process personal data in our Policy. We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Multi-choice test th",20,No,Yes,C
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,"The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available. Approximate Completion Time in minutes = 41 Fact Sheet Technical Sales Associate One Sitting_USE Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient.",20,No,Yes,K
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,"The next-generation Verify Numerical Ability Test provides a replacement for the existing Numerical Reasoning test in our Verify range of ability tests and the Global Cognitive Index – Adaptive Quantitative test, and measures the ability to: • Derive the numerical problem from a written problem • Calculate the answer to numerical equations • Work with numerical data in a realistic workplace context The test is 20 minutes long, has 16 items and is designed to provide an indication of how an individual will perform when asked to work with numerical information or statistical details. Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Arabic, Portuguese (Brazil), French (Canada), Chinese Simplified, Czech, Dutch, Finnish, French, German, Hungarian, Indonesian, English International, Italian, Japanese, Korean, Norwegian, Portuguese, Romanian, Russian, Slovak, Spanish, Swedish, Turkish, English (USA), Latin American Spanish, Polish, Serbian, Chinese Traditional, Danish, Thai, Greek, Approximate Completion Time in minutes = 20 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purpo",20,Yes,Yes,A
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,"The Verbal Ability test measures the ability to read written passages and comprehend the text, interpret tone and author intent, identify main ideas, and predict author responses. Sample tasks for jobs that may require verbal ability include, but are not limited to: working with reports, correspondence, instructions, and research information. The Verbal Ability test, due to its adaptive nature, is appropriate for all job levels and roles. General Population, Graduate, Executive, Director, Entry-Level, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager, Approximate Completion Time in minutes = 15 minutes Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary fo",15,Yes,Yes,A
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Approximate Completion Time in minutes = 15 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This si",20,No,Yes,A
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,"The Written English test measures knowledge of US English grammar and English reading comprehension. It is designed for those with English as a second language and covers the following topics: Articles, Comparisons, Conjunctions, General Questions, Misused Words, Nouns, Parallel Structure, Prepositions, Pronouns, Specific Questions, and Verbs. Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor, Approximate Completion Time in minutes = 30 Speak to our team today to see how our products transform talent strategy. We are committed to providing you with a productive and -friendly website experience. Like most websites you visit, third parties, authorized by us, place s on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our s using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described usage. View our full SHL Statement or SHL Policy Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. Some of the data collected by this provider is for the purposes of personalization and measuring advertising effectiveness. s are small text files that can be used by websites to make a user's experience more efficient. The law states that we can store s on your device if they are strictly necessary for the operation of this site. For all other types of s, we need your permission.This site uses different types of s. Some s are placed by third-party services that appear on our",20,No,Yes,C
